id,name,faction,type,scope,decision,changes,reason,playsBefore,playsAfter
ares_keyword_warpath_telearch,Warpath Ram,ARES,CHARACTER,faction,retained,{},"Retain 6 GP: A7/D5, movement 2, range 1; keyword specialization SIEGE.",37,36
ares_ares_avatar_of_war,Ares Avatar of War,ARES,CHARACTER,faction,retained,{},"Retain 7 GP: A8/D6, movement 3, range 1; keyword specialization VANGUARD.",29,30
ares_apex_deimos_cataclysm_rider,Deimos Cataclysm Rider,ARES,CHARACTER,faction,retained,{},"Retain 7 GP: A8/D6, movement 4, range 1; keyword specialization BLINK.",24,25
ares_apex_phobos_terror_titan,Phobos Terror Titan,ARES,CHARACTER,faction,retained,{},"Retain 8 GP: A9/D7, movement 4, range 2; keyword specialization BLINK.",26,24
ares_apex_spartan_last_vanguard,Spartan Last Vanguard,ARES,CHARACTER,faction,retained,{},"Retain 8 GP: A8/D10, movement 2, range 1; keyword specialization VANGUARD.",26,29
ares_keyword_titan_of_the_red_line,Titan of the Red Line,ARES,CHARACTER,faction,retained,{},"Retain 8 GP: A9/D7, movement 3, range 1; keyword specialization FAST_STRIKE.",36,33
ares_apex_enyo_citybreaker,Enyo Citybreaker,ARES,CHARACTER,faction,mechanical change,"{""keywords"": {""after"": [""SIEGE""], ""before"": []}, ""movement"": {""after"": 1, ""before"": 2}}",Make the citybreaker a slow dedicated siege finisher.,45,44
ares_apex_ares_godframe_unbound,Ares Godframe Unbound,ARES,CHARACTER,faction,archetype only,"{""archetypes"": {""after"": [""AUTOMATON""], ""before"": []}}",Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,26,25
ares_crimson_training_yard,Crimson Training Yard,ARES,LAND,faction,retained,{},"Retain turn-1 development: 5 HP, 1 base income, 0 gold; utility offset by activation payment/lower income or a free infrastructure baseline.",65,56
ares_phobos_launch_strip,Phobos Launch Strip,ARES,LAND,faction,retained,{},"Retain turn-1 development: 6 HP, 1 base income, 0 gold; utility offset by activation payment/lower income or a free infrastructure baseline.",62,57
ares_arena_of_burning_bronze,Arena of Burning Bronze,ARES,LAND,faction,retained,{},"Retain turn-1 development: 7 HP, 1 base income, 0 gold; utility offset by activation payment/lower income or a free infrastructure baseline.",56,50
ares_land_muster_field,Muster Field,ARES,LAND,faction,mechanical change,"{""hitPoints"": {""after"": 7, ""before"": 8}}",Keep a free turn-1 option while reducing the strict durability upgrade over earlier lands.,42,40
ares_ability_bloodied_ground,Bloodied Ground,ARES,LAND,faction,retained,{},"Retain turn-2 development: 7 HP, 1 base income, 0 gold; utility offset by activation payment/lower income or a free infrastructure baseline.",38,35
ares_tutor_land_1,First-Blood Muster,ARES,LAND,faction,mechanical change,"{""abilities"": {""after"": [{""amount"": 1, ""effect"": ""DRAW_STRUCTURE"", ""gpCost"": 2, ""trigger"": ""ACTIVATED""}], ""before"": [{""amount"": 1, ""effect"": ""DRAW_STRUCTURE"", ""gpCost"": 1, ""trigger"": ""ACTIVATED""}]}, ""archetypes"": {""after"": [""MUSTER_GROUND""], ""before"": []}}","Standardize typed draw at 2 GP. First two tiers stay free; later tiers pay 1/2/2 gold for durable draw engines, with faction utility on the final two tiers. Add Muster Ground or Recruitment grouping.",38,36
ares_land_red_dust_march,Red Dust March,ARES,LAND,faction,mechanical change,"{""developmentGoldCost"": {""after"": 1, ""before"": 0}, ""keywordValues"": {""after"": {""WAYSTATION"": {""amount"": 1, ""range"": 0}}, ""before"": {}}, ""keywords"": {""after"": [""WAYSTATION""], ""before"": []}}",Add faction-role utility; surcharge pays for the benefit beyond the free income/HP baseline.,38,33
ares_warforge_front,Warforge Front,ARES,LAND,faction,retained,{},"Retain turn-2 development: 9 HP, 1 base income, 0 gold; utility offset by activation payment/lower income or a free infrastructure baseline.",40,43
ares_tutor_land_2,Siegeborn March,ARES,LAND,faction,mechanical change,"{""abilities"": {""after"": [{""amount"": 1, ""effect"": ""DRAW_STRUCTURE"", ""gpCost"": 2, ""trigger"": ""ACTIVATED""}], ""before"": [{""amount"": 1, ""effect"": ""DRAW_STRUCTURE"", ""gpCost"": 1, ""trigger"": ""ACTIVATED""}]}, ""archetypes"": {""after"": [""MUSTER_GROUND""], ""before"": []}}","Standardize typed draw at 2 GP. First two tiers stay free; later tiers pay 1/2/2 gold for durable draw engines, with faction utility on the final two tiers. Add Muster Ground or Recruitment grouping.",34,31
ares_land_conquerors_divide,Conqueror's Divide,ARES,LAND,faction,mechanical change,"{""developmentGoldCost"": {""after"": 1, ""before"": 0}, ""keywordValues"": {""after"": {""HIGH_GROUND"": {""amount"": 1, ""range"": 0}}, ""before"": {}}, ""keywords"": {""after"": [""HIGH_GROUND""], ""before"": []}}",Add faction-role utility; surcharge pays for the benefit beyond the free income/HP baseline.,39,32
ares_apex_endless_arena,Endless Arena,ARES,LAND,faction,mechanical change,"{""developmentGoldCost"": {""after"": 2, ""before"": 0}, ""keywordValues"": {""after"": {""WAYSTATION"": {""amount"": 2, ""range"": 0}}, ""before"": {}}, ""keywords"": {""after"": [""WAYSTATION""], ""before"": []}}",Add faction-role utility; surcharge pays for the benefit beyond the free income/HP baseline.,39,37
ares_tutor_land_3,Ravager's Assembly,ARES,LAND,faction,mechanical change,"{""archetypes"": {""after"": [""MUSTER_GROUND""], ""before"": []}, ""developmentGoldCost"": {""after"": 1, ""before"": 0}}","Standardize typed draw at 2 GP. First two tiers stay free; later tiers pay 1/2/2 gold for durable draw engines, with faction utility on the final two tiers. Add Muster Ground or Recruitment grouping.",34,32
ares_land_iron_standard_province,Iron-Standard Province,ARES,LAND,faction,retained,{},"Retain turn-7 development: 21 HP, 4 base income, 0 gold; utility offset by activation payment/lower income or a free infrastructure baseline.",37,36
ares_tutor_land_4,Phalanx War Ground,ARES,LAND,faction,mechanical change,"{""archetypes"": {""after"": [""MUSTER_GROUND""], ""before"": []}, ""developmentGoldCost"": {""after"": 2, ""before"": 0}, ""keywordValues"": {""after"": {""WAYSTATION"": {""amount"": 1, ""range"": 0}}, ""before"": {}}, ""keywords"": {""after"": [""WAYSTATION""], ""before"": []}}","Standardize typed draw at 2 GP. First two tiers stay free; later tiers pay 1/2/2 gold for durable draw engines, with faction utility on the final two tiers. Add Muster Ground or Recruitment grouping.",36,32
ares_tutor_land_5,Godwar Mobilization,ARES,LAND,faction,mechanical change,"{""abilities"": {""after"": [{""amount"": 1, ""effect"": ""DRAW_STRUCTURE"", ""gpCost"": 2, ""trigger"": ""ACTIVATED""}], ""before"": [{""amount"": 1, ""effect"": ""DRAW_STRUCTURE"", ""gpCost"": 3, ""trigger"": ""ACTIVATED""}]}, ""archetypes"": {""after"": [""MUSTER_GROUND""], ""before"": []}, ""developmentGoldCost"": {""after"": 2, ""before"": 0}, ""keywordValues"": {""after"": {""WAYSTATION"": {""amount"": 1, ""range"": 0}}, ""before"": {}}, ""keywords"": {""after"": [""WAYSTATION""], ""before"": []}}","Standardize typed draw at 2 GP. First two tiers stay free; later tiers pay 1/2/2 gold for durable draw engines, with faction utility on the final two tiers. Add Muster Ground or Recruitment grouping.",37,37
ares_blood_frenzy,Blood Frenzy,ARES,SPELL,faction,mechanical change,"{""cost"": {""after"": 2, ""before"": 3}}",Give the melee faction efficient temporary offensive support.,34,36
ares_defiant_roar,Defiant Roar,ARES,SPELL,faction,retained,{},"Retain 2-GP single-use effect: [{""amount"": 2, ""target"": ""FRIENDLY"", ""type"": ""BUFF_DEFENSE""}]; no extra price for rarity.",36,32
ares_forced_march,Forced March,ARES,SPELL,faction,retained,{},"Retain 2-GP single-use effect: [{""amount"": 1, ""target"": ""FRIENDLY"", ""type"": ""TELEPORT_CHARACTER""}]; no extra price for rarity.",42,37
ares_spear_volley,Spear Volley,ARES,SPELL,faction,retained,{},"Retain 2-GP single-use effect: [{""amount"": 3, ""target"": ""ENEMY"", ""type"": ""STRIKE_CHARACTER""}]; no extra price for rarity.",40,38
ares_apex_champions_refusal,Champion's Refusal,ARES,SPELL,faction,mechanical change,"{""archetypes"": {""after"": [""WARFARE""], ""before"": []}, ""cost"": {""after"": 4, ""before"": 6}}",Lower defense magnitude than the 5-GP apex shields. Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,15,18
ares_siege_fury,Siege Fury,ARES,SPELL,faction,retained,{},"Retain 4-GP single-use effect: [{""amount"": 5, ""target"": ""ENEMY"", ""type"": ""DAMAGE_PERMANENT""}]; no extra price for rarity.",41,36
ares_apex_total_war,Total War,ARES,SPELL,faction,mechanical change,"{""archetypes"": {""after"": [""WARFARE""], ""before"": []}, ""cost"": {""after"": 5, ""before"": 7}}","Ares gets the strongest attack buff, but still needs a living attacker. Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.",37,38
ares_apex_no_safe_ground,No Safe Ground,ARES,SPELL,faction,archetype only,"{""archetypes"": {""after"": [""WARFARE""], ""before"": []}}",Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,41,33
ares_forward_barricade,Forward Barricade,ARES,STRUCTURE,faction,retained,{},"Retain turn-1 development: 5 HP, 1 base income, 0 gold; utility offset by activation payment/lower income or a free infrastructure baseline.",57,49
ares_ballistic_shrine,Ballistic Shrine,ARES,STRUCTURE,faction,retained,{},"Retain turn-2 development: 6 HP, 1 base income, 2 gold; paid terrain utility.",60,56
ares_tutor_structure_1,Blood-Rush Barracks,ARES,STRUCTURE,faction,mechanical change,"{""abilities"": {""after"": [{""amount"": 1, ""effect"": ""DRAW_CHARACTER"", ""gpCost"": 2, ""trigger"": ""ACTIVATED""}], ""before"": [{""amount"": 1, ""effect"": ""DRAW_CHARACTER"", ""gpCost"": 1, ""trigger"": ""ACTIVATED""}]}, ""archetypes"": {""after"": [""RECRUITMENT""], ""before"": []}}","Standardize typed draw at 2 GP. First two tiers stay free; later tiers pay 1/2/2 gold for durable draw engines, with faction utility on the final two tiers. Add Muster Ground or Recruitment grouping.",53,47
ares_chariot_deployment_rack,Chariot Deployment Rack,ARES,STRUCTURE,faction,mechanical change,"{""developmentGoldCost"": {""after"": 2, ""before"": 0}, ""keywordValues"": {""after"": {""BEACON"": {""amount"": 1, ""range"": 1}}, ""before"": {}}, ""keywords"": {""after"": [""BEACON""], ""before"": []}}",Add faction-role utility; surcharge pays for the benefit beyond the free income/HP baseline.,41,44
ares_structure_spoil_depot,Spoil Depot,ARES,STRUCTURE,faction,retained,{},"Retain turn-3 development: 11 HP, 2 base income, 0 gold; utility offset by activation payment/lower income or a free infrastructure baseline.",39,40
ares_ares_siege_citadel,Ares Siege Citadel,ARES,STRUCTURE,faction,retained,{},"Retain turn-4 development: 10 HP, 1 base income, 0 gold; utility offset by activation payment/lower income or a free infrastructure baseline.",43,40
ares_structure_campaign_forge,Campaign Forge,ARES,STRUCTURE,faction,mechanical change,"{""archetypes"": {""after"": [""WORKSHOP""], ""before"": []}, ""hitPoints"": {""after"": 12, ""before"": 16}}",Free turn-4 infrastructure trades utility for moderate durability. Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,38,33
ares_tutor_structure_2,Siegebreaker Arsenal,ARES,STRUCTURE,faction,mechanical change,"{""abilities"": {""after"": [{""amount"": 1, ""effect"": ""DRAW_CHARACTER"", ""gpCost"": 2, ""trigger"": ""ACTIVATED""}], ""before"": [{""amount"": 1, ""effect"": ""DRAW_CHARACTER"", ""gpCost"": 1, ""trigger"": ""ACTIVATED""}]}, ""archetypes"": {""after"": [""RECRUITMENT""], ""before"": []}}","Standardize typed draw at 2 GP. First two tiers stay free; later tiers pay 1/2/2 gold for durable draw engines, with faction utility on the final two tiers. Add Muster Ground or Recruitment grouping.",35,37
ares_ability_war_drum,War-Drum Tower,ARES,STRUCTURE,faction,retained,{},"Retain turn-4 development: 9 HP, 2 base income, 1 gold; paid terrain utility.",38,35
ares_tutor_structure_3,Ravager Drum Tower,ARES,STRUCTURE,faction,mechanical change,"{""archetypes"": {""after"": [""RECRUITMENT""], ""before"": []}, ""developmentGoldCost"": {""after"": 1, ""before"": 0}}","Standardize typed draw at 2 GP. First two tiers stay free; later tiers pay 1/2/2 gold for durable draw engines, with faction utility on the final two tiers. Add Muster Ground or Recruitment grouping.",35,34
ares_structure_veterans_hall,Veterans' Hall,ARES,STRUCTURE,faction,retained,{},"Retain turn-6 development: 18 HP, 2 base income, 0 gold; utility offset by activation payment/lower income or a free infrastructure baseline.",38,31
ares_tutor_structure_4,Champion's War Hall,ARES,STRUCTURE,faction,mechanical change,"{""archetypes"": {""after"": [""RECRUITMENT""], ""before"": []}, ""developmentGoldCost"": {""after"": 2, ""before"": 0}, ""keywordValues"": {""after"": {""BEACON"": {""amount"": 1, ""range"": 1}}, ""before"": {}}, ""keywords"": {""after"": [""BEACON""], ""before"": []}}","Standardize typed draw at 2 GP. First two tiers stay free; later tiers pay 1/2/2 gold for durable draw engines, with faction utility on the final two tiers. Add Muster Ground or Recruitment grouping.",35,33
ares_apex_siege_god_arsenal,Siege God Arsenal,ARES,STRUCTURE,faction,mechanical change,"{""archetypes"": {""after"": [""EMPLACEMENT""], ""before"": []}, ""developmentGoldCost"": {""after"": 3, ""before"": 0}, ""keywordValues"": {""after"": {""TURRET"": {""amount"": 2, ""range"": 2}}, ""before"": {}}, ""keywords"": {""after"": [""TURRET""], ""before"": []}}",Add faction-role utility; surcharge pays for the benefit beyond the free income/HP baseline. Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,35,32
ares_structure_triumph_foundry,Triumph Foundry,ARES,STRUCTURE,faction,mechanical change,"{""archetypes"": {""after"": [""WORKSHOP""], ""before"": []}, ""developmentGoldCost"": {""after"": 1, ""before"": 0}}","Late high-HP, high-income infrastructure also has a passive; add a modest utility surcharge. Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.",32,34
ares_tutor_structure_5,Ares Legion Gate,ARES,STRUCTURE,faction,mechanical change,"{""abilities"": {""after"": [{""amount"": 1, ""effect"": ""DRAW_CHARACTER"", ""gpCost"": 2, ""trigger"": ""ACTIVATED""}], ""before"": [{""amount"": 1, ""effect"": ""DRAW_CHARACTER"", ""gpCost"": 3, ""trigger"": ""ACTIVATED""}]}, ""archetypes"": {""after"": [""RECRUITMENT""], ""before"": []}, ""developmentGoldCost"": {""after"": 2, ""before"": 0}, ""keywordValues"": {""after"": {""BEACON"": {""amount"": 1, ""range"": 1}}, ""before"": {}}, ""keywords"": {""after"": [""BEACON""], ""before"": []}}","Standardize typed draw at 2 GP. First two tiers stay free; later tiers pay 1/2/2 gold for durable draw engines, with faction utility on the final two tiers. Add Muster Ground or Recruitment grouping.",36,31
athena_capital_acropolis_command,Acropolis Command,ATHENA,CAPITAL,faction,retained,{},Retain the 20-HP Capital and its conditional faction role: Start of your turn: your first Vanguard Character gains +1 Defense this turn.,0,0
athena_capital_aegis_archive,Aegis Archive,ATHENA,CAPITAL,faction,retained,{},Retain the 20-HP Capital and its conditional faction role: Draw one additional card every fourth personal turn.,0,0
athena_capital_owlwatch_fortress,Owlwatch Fortress,ATHENA,CAPITAL,faction,archetype only,"{""archetypes"": {""after"": [""FORTRESS""], ""before"": []}}",Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,0,0
athena_athenian_cadet,Athenian Cadet,ATHENA,CHARACTER,faction,retained,{},"Retain 1 GP: A1/D3, movement 2, range 1; keyword specialization VANGUARD.",42,51
athena_owl_recon_unit,Owl Recon Unit,ATHENA,CHARACTER,faction,mechanical change,"{""defense"": {""after"": 1, ""before"": 2}}",Keep the 1-GP range-3 scout fragile; its reach trades away Defense.,67,79
athena_keyword_aegis_cadet,Aegis Cadet,ATHENA,CHARACTER,faction,mechanical change,"{""archetypes"": {""after"": [""HUMAN""], ""before"": []}, ""movement"": {""after"": 3, ""before"": 2}}",Differentiate it from the identical Silver Shield Drone. Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,40,43
athena_grid_tactician,Grid Tactician,ATHENA,CHARACTER,faction,retained,{},"Retain 2 GP: A2/D3, movement 2, range 2; stats-only body.",51,55
athena_silver_shield_drone,Silver Shield Drone,ATHENA,CHARACTER,faction,retained,{},"Retain 2 GP: A1/D4, movement 2, range 1; keyword specialization VANGUARD.",39,41
athena_fast_counterstroke_adept,Counterstroke Adept,ATHENA,CHARACTER,faction,retained,{},"Retain 3 GP: A3/D3, movement 3, range 1; keyword specialization FAST_STRIKE.",27,26
athena_owlwing_repositioner,Owlwing Repositioner,ATHENA,CHARACTER,faction,retained,{},"Retain 3 GP: A2/D3, movement 3, range 2; keyword specialization BLINK.",33,33
athena_keyword_hidden_flank_scholar,High-Flank Scholar,ATHENA,CHARACTER,faction,mechanical change,"{""archetypes"": {""after"": [""HUMAN""], ""before"": []}, ""cost"": {""after"": 4, ""before"": 3}}",Sharp Shot adds further reach to an already durable ranged body. Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,39,44
athena_hoplon_formation_lead,Hoplon Formation Lead,ATHENA,CHARACTER,faction,retained,{},"Retain 4 GP: A3/D6, movement 2, range 1; keyword specialization VANGUARD.",43,49
athena_medusa_pattern_analyst,Medusa Pattern Analyst,ATHENA,CHARACTER,faction,retained,{},"Retain 4 GP: A4/D4, movement 2, range 2; stats-only body.",47,49
athena_nike_strategic_runner,Nike Strategic Runner,ATHENA,CHARACTER,faction,retained,{},"Retain 4 GP: A4/D3, movement 4, range 1; keyword specialization BLINK.",31,36
athena_pallas_counter_sniper,Pallas Counter-Sniper,ATHENA,CHARACTER,faction,mechanical change,"{""cost"": {""after"": 4, ""before"": 3}}",Its range-3 body outclasses other 3-GP marksmen.,41,47
athena_sharp_acropolis_marksman,Acropolis Marksman,ATHENA,CHARACTER,faction,retained,{},"Retain 5 GP: A4/D5, movement 2, range 2; keyword specialization SHARP_SHOT.",32,38
athena_keyword_owlguard_strategos,Owlguard Strategos,ATHENA,CHARACTER,faction,retained,{},"Retain 5 GP: A4/D7, movement 2, range 2; keyword specialization VANGUARD.",21,27
athena_parthenon_sentinel,Parthenon Sentinel,ATHENA,CHARACTER,faction,retained,{},"Retain 5 GP: A4/D7, movement 1, range 2; keyword specialization VANGUARD.",40,47
athena_athenas_grey_eyed_seer,Athena's Grey-Eyed Seer,ATHENA,CHARACTER,faction,retained,{},"Retain 6 GP: A5/D6, movement 2, range 3; stats-only body.",42,47
athena_siege_geometry_breaker,Geometry Breaker,ATHENA,CHARACTER,faction,retained,{},"Retain 6 GP: A6/D6, movement 2, range 1; keyword specialization SIEGE.",21,25
athena_ability_highwall_archon,Highwall Archon,ATHENA,CHARACTER,faction,mechanical change,"{""cost"": {""after"": 6, ""before"": 5}}",Recurring defense and Sharp Shot warrant an elite-control price.,38,45
athena_keyword_labyrinth_tactician,Labyrinth Marksman,ATHENA,CHARACTER,faction,archetype only,"{""archetypes"": {""after"": [""HUMAN""], ""before"": []}}",Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,37,39
athena_aegis_prime_strategos,Aegis Prime Strategos,ATHENA,CHARACTER,faction,retained,{},"Retain 7 GP: A6/D8, movement 2, range 2; keyword specialization VANGUARD.",41,50
athena_apex_nike_victory_algorithm,Nike Victory Algorithm,ATHENA,CHARACTER,faction,archetype only,"{""archetypes"": {""after"": [""AUTOMATON""], ""before"": []}}",Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,25,29
athena_apex_owl_of_absolute_foresight,Owl of Absolute Foresight,ATHENA,CHARACTER,faction,mechanical change,"{""cost"": {""after"": 7, ""before"": 6}}","Range 3, Blink and 8 Defense exceed the 6-GP tier.",32,35
athena_apex_medusa_countermeasure_prime,Medusa Countermeasure Prime,ATHENA,CHARACTER,faction,retained,{},"Retain 8 GP: A8/D9, movement 2, range 3; keyword specialization VANGUARD.",42,44
athena_keyword_pallas_war_savant,Pallas War Savant,ATHENA,CHARACTER,faction,retained,{},"Retain 8 GP: A7/D10, movement 3, range 2; keyword specialization VANGUARD.",21,24
athena_apex_pallas_aegis_eternal,Pallas Aegis Eternal,ATHENA,CHARACTER,faction,retained,{},"Retain 9 GP: A8/D11, movement 2, range 2; keyword specialization VANGUARD.",44,47
athena_apex_athena_strategic_avatar,Athena Strategic Avatar,ATHENA,CHARACTER,faction,retained,{},"Retain 10 GP: A9/D12, movement 2, range 3; keyword specialization VANGUARD.",40,44
athena_academy_training_grid,Academy Training Grid,ATHENA,LAND,faction,retained,{},"Retain turn-1 development: 6 HP, 1 base income, 0 gold; utility offset by activation payment/lower income or a free infrastructure baseline.",60,61
athena_land_academy_gardens,Academy Gardens,ATHENA,LAND,faction,mechanical change,"{""archetypes"": {""after"": [""URBAN""], ""before"": []}, ""hitPoints"": {""after"": 8, ""before"": 9}}",Keep a free turn-1 option while reducing the strict durability upgrade over earlier lands. Add or correct a searchable archetype from the card's explicit identity; no automatic stat bonus.,49,47
athena_owlwatch_promenade,Owlwatch Promenade,ATHENA,LAND,faction,retained,{},"Retain turn-1 development: 7 HP, 1 base income, 0 gold; utility offset by activation payment/lower income or a free infrastructure baseline.",52,63
athena_parthenon_data_court,Parthenon Data Court,ATHENA,LAND,faction,retained,{},"Retain turn-1 development: 8 HP, 1 base income, 0 gold; utility offset by activation payment/lower income or a free infrastructure baseline.",40,43
athena_ability_academy_gardens,Academy Gardens,ATHENA,LAND,faction,retained,{},"Retain turn-2 development: 7 HP, 1 base income, 2 gold; paid terrain utility.",35,33
athena_aegis_defensive_quarter,Aegis Defensive Quarter,ATHENA,LAND,faction,retained,{},"Retain turn-2 development: 10 HP, 1 base income, 1 gold; paid terrain utility.",46,48
athena_tutor_land_1,Aegis Muster Court,ATHENA,LAND,faction,mechanical change,"{""abilities"": {""after"": [{""amount"": 1, ""effect"": ""DRAW_STRUCTURE"", ""gpCost"": 2, ""trigger"": ""ACTIVATED""}], ""before"": [{""amount"": 1, ""effect"": ""DRAW_STRUCTURE"", ""gpCost"": 1, ""trigger"": ""ACTIVATED""}]}, ""archetypes"": {""after"": [""MUSTER_GROUND""], ""before"": []}}","Standardize typed draw at 2 GP. First two tiers stay free; later tiers pay 1/2/2 gold for durable draw engines, with faction utility on the final two tiers. Add Muster Ground or Recruitment grouping.",35,37
athena_land_measured_terrace,Measured Terrace,ATHENA,LAND,faction,mechanical change,"{""developmentGoldCost"": {""after"": 1, ""before"": 0}, ""keywordValues"": {""after"": {""HIGH_GROUND"": {""amount"": 1, ""range"": 0}}, ""before"": {}}, ""keywords"": {""after"": [""HIGH_GROUND""], ""before"": []}}",Add faction-role utility; surcharge pays for the benefit beyond the free income/HP baseline.,34,38
athena_tutor_land_2,Owl-Sighted Terrace,ATHENA,LAND,faction,mechanical change,"{""abilities"": {""after"": [{""amount"": 1, ""effect"": ""DRAW_STRUCTURE"", ""gpCost"": 2, ""trigger"": ""ACTIVATED""}], ""before"": [{""amount"": 1, ""effect"": ""DRAW_STRUCTURE"", ""gpCost"": 1, ""trigger"": ""ACTIVATED""}]}, ""archetypes"": {""after"": [""MUSTER_GROUND""], ""before"": []}}","Standardize typed draw at 2 GP. First two tiers stay free; later tiers pay 1/2/2 gold for durable draw engines, with faction utility on the final two tiers. Add Muster Ground or Recruitment grouping.",31,37
athena_land_oracles_province,Oracle's Province,ATHENA,LAND,faction,mechanical change,"{""developmentGoldCost"": {""after"": 1, ""before"": 0}, ""keywordValues"": {""after"": {""ARCHIVE"": {""amount"": 1, ""range"": 0}}, ""before"": {}}, ""keywords"": {""after"": [""ARCHIVE""], ""before"": []}}",Add faction-role utility; surcharge pays for the benefit beyond the free income/HP baseline.,32,35
athena_tutor_land_3,Strategic Assembly,ATHENA,LAND,faction,mechanical change,"{""archetypes"": {""after"": [""MUSTER_GROUND""], ""before"": []}, ""developmentGoldCost"": {""after"": 1, ""before"": 0}}","Standardize typed draw at 2 GP. First two tiers stay free; later tiers pay 1/2/2 gold for durable draw engines, with faction utility on the final two tiers. Add Muster Ground or Recruitment grouping.",35,38
